index,value,average
0,9264.0,11674.315789473685
1,14727.0,14727.0
2,11832.0,13224.157894736842
3,2224.0,2291.7894736842104
4,230.0,1419.7368421052631
5,65.0,65.0
index,value,average
0,9264.0,11672.78947368421
1,14729.0,14729.0
2,11834.0,13226.157894736842
3,2224.0,2291.7894736842104
4,230.0,1419.7368421052631
5,65.0,65.0
index,value,average
0,9264.0,11672.78947368421
1,14729.0,14729.0
2,11834.0,13226.157894736842
3,2224.0,2291.7894736842104
4,230.0,1419.7368421052631
5,65.0,65.0
index,value,average
0,9264.0,11672.78947368421
1,14729.0,14729.0
2,11834.0,13226.157894736842
3,2224.0,2291.7894736842104
4,230.0,1419.7368421052631
5,65.0,65.0
index,value,average
0,9264.0,11672.78947368421
1,14729.0,14729.0
2,11834.0,13226.157894736842
3,2224.0,2291.7894736842104
4,230.0,1419.7368421052631
5,65.0,65.0
index,value,average
0,9264.0,11672.78947368421
1,14729.0,14729.0
2,11834.0,13226.157894736842
3,2224.0,2291.7894736842104
4,230.0,1419.7368421052631
5,65.0,65.0
index,value,average
0,9264.0,11672.78947368421
1,14729.0,14729.0
2,11834.0,13226.157894736842
3,2224.0,2291.7894736842104
4,230.0,1419.7368421052631
5,65.0,65.0
index,value,average
0,9724.0,10938.105263157895
1,14597.0,14597.0
2,14170.0,14170.0
3,12141.0,13228.052631578947
4,3014.0,5051.1578947368425
5,4105.0,4105.0
6,4105.0,4105.0
7,4105.0,4105.0
